Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
time_14_window_d8_v2,form_1_copy_2,,checkbox,11:56 - 12:15,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_15_window_d8_v2,form_1_copy_2,,checkbox,12:16 - 12:25 (3ο Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_16_window_d8_v2,form_1_copy_2,,checkbox,12:26 - 12:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_17_window_d8_v2,form_1_copy_2,,checkbox,12:46 - 13:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_19_window_d8_v2,form_1_copy_2,,checkbox,Όλη μέρα ανοιχτό (και τα διαλείμματα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_20_window_d8_v2,form_1_copy_2,,checkbox,Όλη μέρα ανοιχτό εκτός από τα διαλείμματα,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
num_doors_v2_5918a4,form_1_copy_2,,radio,10. Πόσες πόρτες διαθέτει η αίθουσα;,"1, 1 | 2, 2",,,,,,,y,LV,,,,
time_1_door_d1_v2,form_1_copy_2,Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή/ές η/οι πόρτα/ες της αίθουσας σήμερα;,checkbox,7:45 - 8:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_2_door_d1_v2,form_1_copy_2,,checkbox,8:06 - 8:25,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_3_door_d1_v2,form_1_copy_2,,checkbox,8:26 - 8:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_4_door_d1_v2,form_1_copy_2,,checkbox,8:46 - 9:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_5_door_d1_v2,form_1_copy_2,,checkbox,9:06 - 9:25 (1o Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_6_door_d1_v2,form_1_copy_2,,checkbox,9:26 - 9:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_7_door_d1_v2,form_1_copy_2,,checkbox,9:46 - 10:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_8_door_d1_v2,form_1_copy_2,,checkbox,10:06 - 10:25,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_9_door_d1_v2,form_1_copy_2,,checkbox,10:26 - 10:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_10_door_d1_v2,form_1_copy_2,,checkbox,10:46 - 10:55 (2ο Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_11_door_d1_v2,form_1_copy_2,,checkbox,10:56 - 11:15,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_12_door_d1_v2,form_1_copy_2,,checkbox,11:16 - 11:35,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_13_door_d1_v2,form_1_copy_2,,checkbox,11:36 - 11:55,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_14_door_d1_v2,form_1_copy_2,,checkbox,11:56 - 12:15,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_15_door_d1_v2,form_1_copy_2,,checkbox,12:16 - 12:25 (3ο Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_16_door_d1_v2,form_1_copy_2,,checkbox,12:26 - 12:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_17_door_d1_v2,form_1_copy_2,,checkbox,12:46 - 13:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_18_door_d1_v2,form_1_copy_2,,checkbox,Δεν ήταν ανοιχτή καθόλου σήμερα,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_19_door_d1_v2,form_1_copy_2,,checkbox,Όλη μέρα ανοιχτή (και τα διαλείμματα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
time_20_door_d1_v2,form_1_copy_2,,checkbox,Όλη μέρα ανοιχτή εκτός από τα διαλείμματα,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d1_v2,,
kids_num_v2_10a049,form_2_copy_2,,text,Πόσα παιδιά βρίσκονται στη συγκεκριμένη τάξη σήμερα;,,,integer,0,25,,,y,LV,,,,
air_condition_on_2_v2_1f94d4,form_2_copy_2,,radio,Έχει λειτουργήσει το κλιματιστικό κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=2 or [air_condition]=4,y,LV,,,,
anemistiras_on_2_v2_6d7cd4,form_2_copy_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=1 or [air_condition]=4,y,LV,,,,
time_ac_on_2_v2_edf86b,form_2_copy_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[air_condition_on]=1,y,LV,,,,
time_anemistiras_on_2_v2_1728fa,form_2_copy_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on]=1,y,LV,,,,
time_1_window_d2_v2,form_2_copy_2,<center>Φυσικός αερισμός της τάξης,checkbox,7:45 - 8:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_2_window_d2_v2,form_2_copy_2,,checkbox,8:06 - 8:25,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_3_window_d2_v2,form_2_copy_2,,checkbox,8:26 - 8:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_4_window_d2_v2,form_2_copy_2,,checkbox,8:46 - 9:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_5_window_d2_v2,form_2_copy_2,,checkbox,9:06 - 9:25 (1o Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_6_window_d2_v2,form_2_copy_2,,checkbox,9:26 - 9:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_7_window_d2_v2,form_2_copy_2,,checkbox,9:46 - 10:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_8_window_d2_v2,form_2_copy_2,,checkbox,10:06 - 10:25,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_9_window_d2_v2,form_2_copy_2,,checkbox,10:26 - 10:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_10_window_d2_v2,form_2_copy_2,,checkbox,10:46 - 10:55 (2ο Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_11_window_d2_v2,form_2_copy_2,,checkbox,10:56 - 11:15,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_12_window_d2_v2,form_2_copy_2,,checkbox,11:16 - 11:35,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_13_window_d2_v2,form_2_copy_2,,checkbox,11:36 - 11:55,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_14_window_d2_v2,form_2_copy_2,,checkbox,11:56 - 12:15,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_15_window_d2_v2,form_2_copy_2,,checkbox,12:16 - 12:25 (3ο Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_16_window_d2_v2,form_2_copy_2,,checkbox,12:26 - 12:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_17_window_d2_v2,form_2_copy_2,,checkbox,12:46 - 13:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_18_window_d2_v2,form_2_copy_2,,checkbox,"Δεν ήταν ανοιχτό καθόλου σήμερα								 Όλη μέρα ανοιχτό (και τα διαλείμματα)","1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_19_window_d2_v2,form_2_copy_2,,checkbox,Όλη μέρα ανοιχτό (και τα διαλείμματα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_20_window_d2_v2,form_2_copy_2,,checkbox,Όλη μέρα ανοιχτό εκτός από τα διαλείμματα,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_d2_v2,,
time_1_door_d2_v2,form_2_copy_2,Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή/ές η/οι πόρτα/ες της αίθουσας σήμερα;,checkbox,7:45 - 8:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_2_door_d2_v2,form_2_copy_2,,checkbox,8:06 - 8:25,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_3_door_d2_v2,form_2_copy_2,,checkbox,8:26 - 8:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_4_door_d2_v2,form_2_copy_2,,checkbox,8:46 - 9:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_5_door_d2_v2,form_2_copy_2,,checkbox,9:06 - 9:25 (1o Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_6_door_d2_v2,form_2_copy_2,,checkbox,9:26 - 9:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_7_door_d2_v2,form_2_copy_2,,checkbox,9:46 - 10:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_8_door_d2_v2,form_2_copy_2,,checkbox,10:06 - 10:25,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_9_door_d2_v2,form_2_copy_2,,checkbox,10:26 - 10:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_10_door_d2_v2,form_2_copy_2,,checkbox,10:46 - 10:55 (2ο Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_11_door_d2_v2,form_2_copy_2,,checkbox,10:56 - 11:15,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_12_door_d2_v2,form_2_copy_2,,checkbox,11:16 - 11:35,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_13_door_d2_v2,form_2_copy_2,,checkbox,11:36 - 11:55,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_14_door_d2_v2,form_2_copy_2,,checkbox,11:56 - 12:15,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_15_door_d2_v2,form_2_copy_2,,checkbox,12:16 - 12:25 (3ο Διάλειμμα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_16_door_d2_v2,form_2_copy_2,,checkbox,12:26 - 12:45,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_17_door_d2_v2,form_2_copy_2,,checkbox,12:46 - 13:05,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_18_door_d2_v2,form_2_copy_2,,checkbox,Δεν ήταν ανοιχτή καθόλου σήμερα,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_19_door_d2_v2,form_2_copy_2,,checkbox,Όλη μέρα ανοιχτή (και τα διαλείμματα),"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
time_20_door_d2_v2,form_2_copy_2,,checkbox,Όλη μέρα ανοιχτή εκτός από τα διαλείμματα,"1, Πόρτα 1 | 2, Πόρτα 2",,,,,,,,,,doors_open_time_d2_v2,,
